Date,Open,High,Low,Close,Volume,Adj Close
2008-12-01,80.95,87.27,75.31,84.16,8886900,84.16
2008-11-03,92.64,94.76,69.50,81.60,11695800,81.60
2008-10-01,115.51,116.80,78.82,92.97,14151200,92.45
2008-09-02,122.87,124.00,109.95,116.96,11304900,116.31
2008-08-01,128.52,129.97,121.50,121.73,6865900,121.05
2008-07-01,117.50,130.93,116.60,127.98,9396900,126.77
2008-06-02,128.49,129.37,118.15,118.53,7654600,117.41
2008-05-01,121.06,129.99,120.78,129.43,8008100,128.21
2008-04-01,115.20,125.00,113.86,120.70,9100700,119.08
2008-03-03,113.86,119.79,111.80,115.14,9449500,113.59
2008-02-01,107.16,116.63,100.60,113.86,8837700,112.33
2008-01-02,108.99,108.99,97.04,107.11,12218000,105.27
2007-12-03,105.55,112.19,104.00,108.10,6994100,106.24
2007-11-01,115.50,116.09,99.27,105.18,10181900,103.37
2007-10-01,117.61,121.46,110.96,116.12,7777600,113.72
2007-09-04,116.34,118.89,114.30,117.80,7366000,115.36
2007-08-01,110.39,117.35,103.70,116.69,9118400,114.28
2007-07-02,105.39,118.82,104.58,110.65,10979700,107.98
2007-06-01,106.62,107.24,101.56,105.25,8410400,102.71
2007-05-01,102.06,108.05,101.35,106.60,6888100,104.03
2007-04-02,94.51,103.00,93.91,102.21,8842800,99.36
2007-03-01,90.25,95.81,88.77,94.26,7765100,91.63
2007-02-01,98.97,100.44,92.47,92.94,7261400,90.35
2007-01-03,97.18,100.90,94.55,99.15,9961100,96.09
2006-12-01,91.90,97.88,90.55,97.15,5446300,94.15
2006-11-01,92.50,94.05,90.43,91.92,5280900,89.09
2006-10-02,81.76,92.68,81.56,92.33,8165200,89.19
2006-09-01,81.13,83.79,79.31,81.94,5377300,79.16
2006-08-01,76.65,81.68,75.05,80.97,4550700,78.22
2006-07-03,77.54,78.53,72.73,77.41,7128500,74.48
2006-06-01,79.89,80.87,76.06,76.82,6698600,73.92
2006-05-01,82.59,83.69,79.06,79.90,5433200,76.88
2006-04-03,82.72,84.45,80.63,82.34,6432000,78.94
2006-03-01,80.20,84.99,79.51,82.47,5103300,79.07
2006-02-01,80.90,82.24,78.93,80.24,6158500,76.93
2006-01-03,82.45,85.03,80.21,81.30,7663100,77.75
